Title,Date,Source,Company,Link
"네이버, 티빙에 400억 지분투자...오리지널 콘텐츠로 경쟁력 강화",2021.06.30.,매일경제,네이버,http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=630735
"'네이버·삼성 전용 5G' 터진다…정부, 특화망 주파수 연내 공급",2021.06.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=628753&year=2021
"삼성생명, 네이버와 인공지능 협력",2021.06.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=627315&year=2021
"""하반기 금리 올라도 두렵지 않다""…증권사가 꼽은 유망주 '네이버 삼바'",2021.06.28.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=624256&year=2021
"[속보] 네이버 ""최인혁 COO, '직원 사망 사건' 도의적 책임지고 사의""",2021.06.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=616454&year=2021
"네이버 노조 ""최인혁 COO, 모든 계열사서 해임해야""",2021.06.28.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=621982&year=2021
"""직원 사망사건 도의적 책임""…최인혁 네이버 COO 사의",2021.06.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=616563&year=2021
네이버도 연 700억 내는데…넷플릭스 한국서 '공짜' 망사용 못한다,2021.06.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=616835&year=2021
"[속보] 네이버 ""이베이코리아 인수 참여 안한다""",2021.06.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=602501&year=2021
"[단독] 구글, 웹툰 수수료 결국 15%로 깎는다…네이버 카카오 등 콘텐츠 플랫...",2021.06.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=605942&year=2021
신세계 단독으로 이베이 인수한다…네이버는 빠진다,2021.06.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=599583&year=2021
"""우리 집 근처에 혹시 성범죄자가""…전출입시 신상정보 네이버 앱에 고지된다",2021.06.27.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=619134&year=2021
네이버도 CJ대한통운과 '로켓배송' 나선다,2021.06.20.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=594630&year=2021
"""시총 역전됐지만…카카오보다 매력적"" 네이버 목표주가 올렸다",2021.06.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=600292&year=2021
"네이버 노조 ""경영진, 사망 동료 가해자 비호""",2021.06.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=616246&year=2021
"""카카오 기다려라""…네이버 또 급등 시총 70조 돌파 카카오와 5조 격차",2021.06.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=609415&year=2021
"네이버 ""이베이코리아 인수전 불참""",2021.06.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=603875&year=2021
만화왕국 日 따돌린 진격의 K웹툰…카카오 네이버 시장 70% 점령,2021.06.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=603701&year=2021
"""더는 못참아""…카카오에 밀려 시총 4위 추락 네이버 7% 폭등 증권가 전망은",2021.06.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=605218&year=2021
"""랠리의 승자는""…카카오 두달새 50% 껑충, 네이버 숨가쁜 추격",2021.06.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=608130&year=2021
카카오 네이버가 다했네…코스피 이달 시총 증가 40% 차지,2021.06.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=613332&year=2021
"KT, 네이버제트 플랫폼 '제페토'에 메타버스 '수원 케이티 위즈 파크' 오픈",2021.06.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=605038&year=2021
"시총 3위 카카오, 네이버 추월한 이유?…비밀은 바로 이것에 있다",2021.06.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=609246&year=2021
"네이버, CJ ENM 하이브 미래에셋 '혈맹전략' 통했네",2021.06.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=603597&year=2021
카카오 vs 네이버…시총 3위 놓고 진검승부 펼친다,2021.06.14.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=574857&year=2021
카카오 네이버 주가 '파죽지세'…SKT 신세계 CJ 남몰래 웃는다,2021.06.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=604099&year=2021
"""정말 오늘이 최저가?"" 카카오 무섭게 뛴다…장중 네이버 넘어 시총 3위 등극",2021.06.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=576268&year=2021
"""지금이 삼성전자 담을 적기""…카카오 네이버 '씽씽' 외면받는 반도체 비중 늘...",2021.06.24.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=610208&year=2021
"세일즈인사이트, 네이버 협업 솔루션과 CRM 연계 서비스 무료 제공",2021.06.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=608469&year=2021
네이버 제친 카카오…시가총액 3위 질주,2021.06.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=579291&year=2021
"신세계 네이버, 이베이코리아 인수…유탄맞은 요기요 본입찰 연기",2021.06.16.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=582915&year=2021
"""6년만에 10배 늘었다""...네이버 넘은 카카오의 미래[판교역 1번 출구]",2021.06.19.,매일경제,네이버,http://premium.mk.co.kr/view.php?no=30355
"""원하는 장소에서 알아서 일한다""…네이버 라인 7월부터 시작한다",2021.06.18.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=592818&year=2021
성장주 황제들의 귀환…카카오·네이버 목표주가 상향,2021.06.18.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=589716&year=2021
"네이버-카카오 동남아·대만 웹툰 신경전…""업계 1위는 나""",2021.06.13.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=570967&year=2021
"네이버 ""M&A 갈증 많아""…쇼핑·웹툰 공격투자",2021.06.08.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=553499&year=2021
상사 괴롭힘에 극단선택…네이버 관련 임원 직무정지,2021.06.01.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=529695&year=2021
"[속보] 네이버 ""이베이코리아 인수 참여 않기로 했다""",2021.06.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=602277&year=2021
"카카오, 카카오커머스 다시 품는다…네이버·쿠팡에 도전장",2021.06.14.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=574433&year=2021
"""3년만에 따블""…네이버, 지분투자 중국판우버 상장에 차익 기대",2021.06.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=579068&year=2021
온라인서 구매 가장 많이한 곳은 '네이버',2021.06.08.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=551156&year=2021
"""이젠 무섭다""…네이버 제친 카카오 약세장서 3.5% 급등 SK하이닉스 향해 질주...",2021.06.17.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=586624&year=2021
"'라이언'의 질주 무섭다…카카오 시총 3위 굳히기, 네이버와 격차 3조원",2021.06.18.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=590528&year=2021
"""1위는 나""…네이버 카카오 시총 전쟁 더 뜨거워진다",2021.06.12.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=568309&year=2021
"카카오, 네이버 제치고 시총 3위 등극…코스피 이틀 연속 최고치 마감",2021.06.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=578433&year=2021
"""사망직원 모욕·과로로 고통""…네이버 노조, 자체조사 발표",2021.06.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=549319&year=2021
"기술 플랫폼으로 진화하는 네이버, 북미 왓패드·유럽 왈라팝·일본 소뱅 연합...",2021.06.18.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=590593&year=2021
롯데 vs 신세계·네이버연합…이베이코리아 인수 '2파전',2021.06.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=549500&year=2021
"[단독] '2억명 메타버스' 네이버 제페토, 한국판 로블록스 만든다",2021.06.08.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=553710&year=2021
네이버 통유리 사옥 10년 '반사광' 소송…주민들이 이겼다,2021.06.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=536664&year=2021
네이버와 카카오는 왜 SM엔터 지분확보 전쟁에 나섰나,2021.06.05.,매일경제,네이버,http://premium.mk.co.kr/view.php?no=30286
[포토] 네이버 노조 진상규명과 재발방지를 위한 기자회견,2021.06.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=549622&year=2021
디온리 위생적인 FULL 스테인리스 전기찜기 14일 네이버쇼핑 라이브 방송,2021.06.14.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=571667&year=2021
"네이버 노조 ""특별근로감독 진정 제출…7일 사망사건 중간 결과 발표""",2021.06.06.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=545133&year=2021
"네이버 노조 ""고인 2년간 문제제기 회사가 묵살했다""",2021.06.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=547471&year=2021
네이버 직원 극단적 선택에…한성숙 대표가 관련 사업 조직 직접 챙긴다,2021.06.03.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=538620&year=2021
빅테크 분석서 '네이버 vs 카카오' 인기,2021.06.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=549554&year=2021
"직접 사과 나선 이해진 ""개발자 사망사건 제 잘못과 부족함이 크다""",2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=631261&year=2021
"SC제일은행, '디즈니 뉴트로 체크카드' 선보여",2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=632710&year=2021
"한성숙 네이버 대표 ""직원 극단 선택, 무겁게 받아들이겠다""",2021.05.28.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=517317&year=2021
"""네이버·카카오 뉴스 알고리즘 공개하라""",2021.05.27.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=512958&year=2021
"[Cover Story] 코로나에 갇힌 사람들, 가상공간으로 떠났죠",2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=629780&year=2021
65~74세 아스트라 접종 시작…30세 이상 '잔여 백신' 당일 예약 네이버 카카오...,2021.05.27.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=509324&year=2021
포스코보다 낮아진 네이버 PER 왜?,2021.05.26.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=508201&year=2021
'노쇼백신' 이젠 네이버·카카오앱에서 검색해 맞는다,2021.05.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=501780&year=2021
[트렌드] 편의점과 손잡은 카카오…대학교로 달려간 네이버,2021.05.25.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=499928&year=2021
오차 최대 16cm…네이버 고정밀지도 경쟁 나섰다,2021.05.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=495761&year=2021
"김형일 네이버웹툰 美사업리더, 美 '엔터·IT 융합 핵심인물'에",2021.05.23.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=495840&year=2021
메타버스 수혜주 자이언트스텝…상장후 90% 뛰었다,2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=631141&year=2021
"네이버, 이베이 인수전 참여 저울질",2021.05.19.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=483927&year=2021
동대문시장 확 바꾸려 산은·네이버 손잡았다,2021.05.17.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=476770&year=2021
"네이버, 가맹점서 수수료 챙기고 소비자에게 생색…선불충전금 결제수수료 3....",2021.05.14.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=466034&year=2021
"""구글 추격 따돌리자""…네이버 검색 지금보다 똑똑해진다",2021.05.13.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=463524&year=2021
"창작자들 좋겠네…네이버, 유료 콘텐츠 플랫폼 시범 서비스 개시",2021.05.13.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=462689&year=2021
네이버·카카오도 금융사처럼 2023년부터 금감원에 분담금,2021.05.19.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=482884&year=2021
"""북미 콘텐츠 시장은 우리 것""…네이버·카카오, 같은 날 발표",2021.05.11.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=453972&year=2021
"""카카오 웃고, 네이버 울었다""…빅테크 라이벌 희비 갈린 이유",2021.05.08.,매일경제,네이버,http://premium.mk.co.kr/view.php?no=30137
"네이버, 사흘만에 접은 블로그챌린지 이틀만에 재개 결정",2021.05.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=440630&year=2021
"네이버, 북미서 AI연구 속도낸다",2021.05.07.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=442794&year=2021
[단독] 네이버 리셀 플랫폼 '크림' 日·동남아 시장 진출한다,2021.05.06.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=438619&year=2021
"네이버 웨일, 교육시장 공략 잰걸음",2021.05.05.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=433686&year=2021
27일부터 네이버·카카오 플랫폼 이용 잔여백신 예약접종 시스템 개통,2021.05.14.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=467760&year=2021
"네이버, '부정이용탓'에 블로그 보상 행사 3일만에 종료…항의 폭주",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=429972&year=2021
"""네이버 계정이 이용 제한되었습니다"" 메일은 스팸",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=432031&year=2021
"네이버 제페토·더 샌드박스, NFT 메타버스 구축 위해 손잡았다",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=431462&year=2021
"2주 글쓰기에 1만6000원…네이버, 사흘만에 끝낸 사정은?",2021.05.04.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=431533&year=2021
"네이버, 1분기 영업익 2888억원…전년동기 1.0% 감소 [종합]",2021.04.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=412069&year=2021
네이버 1분기 성장세 주춤…인건비·스톡옵션 행사 부담,2021.04.29.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=415444&year=2021
"""서울 백신 접종률 몇%일까""…네이버에서 확인하세요",2021.04.28.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=410407&year=2021
"브레이브걸스 측 유나 '오조오억' 논란에 ""악플러 법적대응""[전문]",2021.06.28.,매일경제,네이버,http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=624337
[플랫폼] 네이버 Na. vs 카카오 지갑…개인화 서비스 한판 붙는다,2021.04.28.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=406919&year=2021
"네이버 웨일 ""3년내 크롬 넘어 국내 1위 목표""",2021.04.27.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=406036&year=2021
네이버 쇼핑 '스마트스토어' 사장님 벌써 45만명,2021.04.26.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=401656&year=2021
"美 상장 검토 네이버웹툰, 개발자 OOO명 채용 나선다",2021.04.22.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=390079&year=2021
"""네이버웹툰 미국 증시 상장 검토"" 직접 밝힌 네이버",2021.04.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=383111&year=2021
"""韓 증시는 누가?""…마켓컬리 카카오엔터 이어 네이버웹툰 美 상장 추진",2021.04.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=382426&year=2021
"네이버, 3년간 매해 전직원에 1000만원어치 주식 준다",2021.04.19.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=376247&year=2021
"""30만원까지 외상 쇼핑 OK""…네이버페이, 후불결제 시작",2021.04.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=363360&year=2021
"디바제시카X에스트라, 네이버 쇼핑 라이브서 동시간대 시청률 1위",2021.04.15.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=361929&year=2021
"[메타버스 ‘비즈니스 신세계’] 메타버스 관련주 전성시대, 매출액·기술력에...",2021.06.30.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=633290&year=2021
"""네이버웹툰 미국 증시 상장 검토"" 직접 밝힌 네이버",2021.04.21.,매일경제,네이버,http://news.mk.co.kr/newsRead.php?no=383111&year=2021
